Match No.,Batsmen,Run,Ball,Strike_rate,Average,Position
1,Rohit Sharma,,,,,
2,Rohit Sharma,,,,,
3,Rohit Sharma,,,,,
4,Rohit Sharma,,,,,
5,Rohit Sharma,,,,,
6,Rohit Sharma,,,,,
7,Rohit Sharma,,,,,
8,Rohit Sharma,,,,,
9,Rohit Sharma,,,,,
10,Rohit Sharma,,,,,
11,Rohit Sharma,,,,,
12,Rohit Sharma,,,,,
13,Rohit Sharma,,,,,
14,Rohit Sharma,,,,,
15,Rohit Sharma,,,,,
16,Rohit Sharma,,,,,
17,Rohit Sharma,,,,,
18,Rohit Sharma,,,,,
19,Rohit Sharma,,,,,
20,Rohit Sharma,,,,,
21,Rohit Sharma,,,,,
22,Rohit Sharma,0,2,0,60.5,Opener
23,Rohit Sharma,0,1,0,60.5,Opener
24,Rohit Sharma,121,69,175.36,60.5,Opener
1,Virat Kohli,,,,,Opener
2,Virat Kohli,,,,,Opener
3,Virat Kohli,,,,,Opener
4,Virat Kohli,,,,,Opener
5,Virat Kohli,,,,,Opener
6,Virat Kohli,,,,,Opener
7,Virat Kohli,,,,,Opener
8,Virat Kohli,,,,,Opener
9,Virat Kohli,,,,,Opener
10,Virat Kohli,,,,,Opener
11,Virat Kohli,,,,,Opener
12,Virat Kohli,,,,,Opener
13,Virat Kohli,,,,,Opener
14,Virat Kohli,,,,,Opener
15,Virat Kohli,,,,,Opener
16,Virat Kohli,,,,,Opener
17,Virat Kohli,,,,,Opener
18,Virat Kohli,,,,,Opener
19,Virat Kohli,,,,,Opener
20,Virat Kohli,,,,,Opener
21,Virat Kohli,,,,,Opener
22,Virat Kohli,,,,,Opener
23,Virat Kohli,29,16,181.25,14.5,Opener
24,Virat Kohli,0,1,0,14.5,Opener
1,Yashasvi Jaiswal,,,,,Opener
2,Yashasvi Jaiswal,,,,,Opener
3,Yashasvi Jaiswal,,,,,Opener
4,Yashasvi Jaiswal,,,,,Opener
5,Yashasvi Jaiswal,,,,,Opener
6,Yashasvi Jaiswal,,,,,Opener
7,Yashasvi Jaiswal,,,,,Opener
8,Yashasvi Jaiswal,,,,,Opener
9,Yashasvi Jaiswal,,,,,Opener
10,Yashasvi Jaiswal,1,2,50,45,Opener
11,Yashasvi Jaiswal,84,51,164.7,45,Opener
12,Yashasvi Jaiswal,5,4,125,45,Opener
13,Yashasvi Jaiswal,24,23,104.35,21,Opener
