Batsmen,Run,Ball,Strike_rate,Average,Position
Rohit Sharma,43,29,148.28,32.08,Opener
Rohit Sharma,26,12,216.67,32.08,Opener
Rohit Sharma,0,1,0,32.08,Opener
Rohit Sharma,49,27,181.48,32.08,Opener
Rohit Sharma,38,24,158.33,32.08,Opener
Rohit Sharma,105,63,166.67,32.08,Opener
Rohit Sharma,36,25,144,32.08,Opener
Rohit Sharma,6,5,120,32.08,Opener
Rohit Sharma,8,8,100,32.08,Opener
Rohit Sharma,4,5,80,32.08,Opener
Rohit Sharma,11,12,91.67,32.08,Opener
Rohit Sharma,4,5,80,32.08,Opener
Rohit Sharma,19,24,79.17,32.08,Opener
Rohit Sharma,68,38,178.95,32.08,Opener
Virat Kohli,21,20,105,61.75,Opener
Virat Kohli,77,49,157.14,61.75,Opener
Virat Kohli,83,59,140.68,61.75,Opener
Virat Kohli,22,16,137.5,61.75,Opener
Virat Kohli,113,72,156.94,61.75,Opener
Virat Kohli,3,9,33.33,61.75,Opener
Virat Kohli,42,20,210,61.75,Opener
Virat Kohli,18,7,257.14,61.75,Opener
Virat Kohli,51,43,118.6,61.75,Opener
Virat Kohli,70,44,159.09,61.75,Opener
Virat Kohli,42,27,155.56,61.75,Opener
Virat Kohli,92,47,195.74,61.75,Opener
Virat Kohli,27,13,207.69,61.75,Opener
Virat Kohli,47,29,162.07,61.75,Opener
Virat Kohli,33,24,137.5,61.75,Opener
Yashasvi Jaiswal,24,12,200,31.07,Opener
Yashasvi Jaiswal,5,7,71.43,31.07,Opener
Yashasvi Jaiswal,10,6,166.67,31.07,Opener
Yashasvi Jaiswal,0,2,0,31.07,Opener
Yashasvi Jaiswal,24,19,126.32,31.07,Opener
Yashasvi Jaiswal,39,28,139.29,31.07,Opener
Yashasvi Jaiswal,19,9,211.11,31.07,Opener
Yashasvi Jaiswal,104,60,173.33,31.07,Opener
Yashasvi Jaiswal,24,18,133.33,31.07,Opener
Yashasvi Jaiswal,67,40,167.5,31.07,Opener
Yashasvi Jaiswal,4,2,200,31.07,Opener
Yashasvi Jaiswal,24,21,114.29,31.07,Opener
Yashasvi Jaiswal,4,4,100,31.07,Opener
Yashasvi Jaiswal,45,30,150,31.07,Opener
Yashasvi Jaiswal,42,21,200,31.07,Opener
Suryakumar Yadav,0,2,0,34.5,Middle_Order
Suryakumar Yadav,52,19,273.68,34.5,Middle_Order
Suryakumar Yadav,0,2,0,34.5,Middle_Order
Suryakumar Yadav,78,53,147.17,34.5,Middle_Order
Suryakumar Yadav,10,8,125,34.5,Middle_Order
Suryakumar Yadav,26,13,200,34.5,Middle_Order
Suryakumar Yadav,10,6,166.67,34.5,Middle_Order
Suryakumar Yadav,56,35,160,34.5,Middle_Order
Suryakumar Yadav,102,51,200,34.5,Middle_Order
Suryakumar Yadav,11,14,78.57,34.5,Middle_Order
Suryakumar Yadav,0,3,0,34.5,Middle_Order
Shivam Dube,34,28,121.43,36,Middle_Order
Shivam Dube,51,23,221.74,36,Middle_Order
Shivam Dube,18,17,105.88,36,Middle_Order
Shivam Dube,45,24,187.5,36,Middle_Order
Shivam Dube,28,18,155.56,36,Middle_Order
